Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Precision,Recall,F1-Score,Train Time (s)
1,0.12491181744064422,96.175,0.055854997677670326,98.13,0.9817369930838837,0.9813,0.9813474548834827,19.159690141677856
2,0.050698287640401025,98.48166666666667,0.043803689116612074,98.69,0.9870966371266675,0.9869,0.9869222883258848,18.31094717979431
3,0.032498951038306065,98.97666666666667,0.04067201447614934,98.87,0.9887979368873359,0.9887,0.9886937141509401,18.236850261688232
4,0.026709298940098034,99.18333333333334,0.04694032061015605,98.45,0.9847044103261308,0.9845,0.98450679200132,18.257755041122437
5,0.025170333468493945,99.22333333333333,0.03811652861350012,98.87,0.9887282897727844,0.9887,0.9886932068076394,18.467987060546875
6,0.019949460810327783,99.37,0.028165926209476312,99.04,0.9904271705230915,0.9904,0.9903948185339845,18.63510489463806
7,0.01785564106230208,99.38666666666667,0.04818378366680918,98.53,0.9857859558095322,0.9853,0.9853671096445195,18.455769777297974
8,0.015938497287657193,99.48166666666667,0.024079486405116767,99.17,0.9917159335095197,0.9917,0.9916970683788475,18.376525163650513
9,0.013741133010951168,99.53833333333333,0.04291297660047348,98.82,0.9883196081096232,0.9882,0.9881769685313413,18.270975828170776
10,0.013135568302575538,99.58,0.03153900710860853,99.1,0.9910293981144418,0.991,0.9909991597224965,18.275357007980347
