Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Precision,Recall,F1-Score,Train Time (s)
1,0.1518585161344769,95.29,0.05274650891253259,98.15,0.9816952636003156,0.9815,0.9815102902247911,14.282349109649658
2,0.06356392257769282,98.08,0.06975040054996498,97.96,0.979803175981998,0.9796,0.9795218296258347,10.410022735595703
3,0.054360328198066174,98.355,0.07555555883445778,97.63,0.9772257617465057,0.9763,0.9763570462935451,10.370178937911987
4,0.048315898801083675,98.53666666666666,0.07115442298440029,97.72,0.9775952362376378,0.9772,0.9772313743928789,8.440140008926392
5,0.04411665271079983,98.64833333333333,0.056419653027551246,98.28,0.9829433072656161,0.9828,0.9827762540629504,10.942693948745728
6,0.043579688153549796,98.67833333333333,0.059554657951375704,98.3,0.9830723287486828,0.983,0.9829941197268316,10.565712690353394
7,0.045447465283311124,98.65166666666667,0.07325373100189608,98.02,0.9804485154730199,0.9802,0.9801694029323429,11.58940315246582
8,0.03866053814609283,98.78666666666666,0.05683501349041762,98.35,0.9835336993259743,0.9835,0.983491659070069,11.361174583435059
9,0.039901544393142106,98.80333333333333,0.07791821944219009,98.0,0.9801558855812232,0.98,0.9799924690520536,11.241209983825684
10,0.04479345172207104,98.75666666666666,0.06796769043718086,98.32,0.9833260530034411,0.9832,0.9832017138857849,11.557518243789673
11,0.03528200094780307,98.96833333333333,0.060767826652972874,98.43,0.9843431802734222,0.9843,0.9843031140723637,11.413191318511963
12,0.03619305370926062,98.975,0.065548731727431,98.44,0.984502401863892,0.9844,0.9843718945299185,11.135239124298096
13,0.0363363423409919,99.03666666666666,0.09636953466877457,97.93,0.9797057101952943,0.9793,0.9793262930385347,10.225800037384033
14,0.036956195875876195,99.02,0.0707987429226705,98.3,0.9830494661458328,0.983,0.9829936285051554,11.311505794525146
15,0.03685521356528473,99.00666666666666,0.09437438622554055,98.27,0.9828298704086575,0.9827,0.9826918358694507,10.2830810546875
16,0.040691435771685366,99.03333333333333,0.08025523097683618,98.45,0.984538062169267,0.9845,0.9844896737757742,11.042419910430908
17,0.036055845797878495,99.05166666666666,0.07512227074485452,98.63,0.986310143934637,0.9863,0.9863009327692558,10.551831007003784
18,0.03280732571373553,99.14166666666667,0.08630338911534807,98.42,0.9842898126682896,0.9842,0.984185790116443,11.616199970245361
19,0.03191761287365504,99.17833333333333,0.07536616299725128,98.93,0.9893233184990661,0.9893,0.9892991234457023,11.341687202453613
20,0.035642180578140455,99.155,0.10525898094620438,98.51,0.9851322666950788,0.9851,0.9850789315201232,11.439308166503906
21,0.049839390296180335,98.935,0.10257562864450734,98.16,0.981627574769229,0.9816,0.9815990937242967,11.555216789245605
22,0.03557892381053062,99.17,0.13873051670890363,98.22,0.982264856868675,0.9822,0.9821941123909115,11.287998914718628
23,0.036429170104908454,99.27166666666666,0.12777461155663622,98.5,0.9850676873648421,0.985,0.9849878706067058,11.621532201766968
24,0.03796211376549983,99.17333333333333,0.11744469444550316,98.44,0.9844375352443235,0.9844,0.9843845962303618,11.303575992584229
25,0.034838685909197885,99.27666666666667,0.11755138841487785,98.47,0.9847278480966053,0.9847,0.9847011502463838,10.940601110458374
26,0.031187697444847527,99.3,0.16436476373980644,98.16,0.9816928557480751,0.9816,0.9815821430689502,10.23919415473938
27,0.035131963725670484,99.31,0.15489622950544252,98.33,0.9833487118490201,0.9833,0.9832971353708888,11.093076944351196
28,0.034924720916512074,99.32,0.12426923583902154,98.2,0.9820462813249881,0.982,0.9819986640319794,10.489731073379517
29,0.037702793592412714,99.26333333333334,0.17257315917199506,98.29,0.9829521465859687,0.9829,0.9829009224042143,11.024615287780762
30,0.03423609892515662,99.35333333333334,0.1641277795684662,98.17,0.98187640670557,0.9817,0.9817138394596261,11.240406036376953
31,0.04362925208097029,99.305,0.14378076265342968,98.4,0.9840222193696933,0.984,0.9839999352452247,11.26882004737854
32,0.04362996409449569,99.29,0.1487634283274224,98.49,0.9849301849440584,0.9849,0.9848932263782519,11.43952202796936
33,0.03975889159043636,99.34,0.14573969359493197,98.43,0.9843587520745297,0.9843,0.984306763319056,10.766014814376831
34,0.03598271578010823,99.42666666666666,0.1977901590220665,98.58,0.9858565830470767,0.9858,0.9857948187237775,11.779827117919922
35,0.042490283107759125,99.405,0.1913215791266893,98.55,0.9855889869787118,0.9855,0.9854951130229416,11.030559778213501
36,0.036978715052249554,99.47666666666667,0.22478917772712095,98.46,0.9846713016422882,0.9846,0.9846004720279005,11.573484182357788
37,0.042914002133682703,99.425,0.18818850440712961,98.57,0.9857468065391871,0.9857,0.9856880829215381,10.329654932022095
38,0.03261210475363337,99.51833333333333,0.20449612857552654,98.51,0.9851363612181336,0.9851,0.9850915102957474,10.364000082015991
39,0.04388789967162922,99.45833333333333,0.3162667983201197,98.12,0.9813775697145684,0.9812,0.9811967214123118,10.161443710327148
40,0.049828644226434696,99.425,0.36915007702384534,97.81,0.9788309378008049,0.9781,0.9781853398949821,10.41844391822815
41,0.04752015125466607,99.47833333333334,0.2372575831759839,98.38,0.9838596296698264,0.9838,0.983790942648846,10.35371994972229
42,0.031565188552530606,99.565,0.25603011660840974,98.52,0.9852323614116308,0.9852,0.9851948781418896,11.580197811126709
43,0.03814891411394344,99.56166666666667,0.2618895280338914,98.37,0.9837703330531496,0.9837,0.9836973477313109,14.068103313446045
44,0.051577465812352494,99.455,0.27047000826356243,98.59,0.9859192132164506,0.9859,0.9858883687825734,16.703343152999878
45,0.043153186256687674,99.55166666666666,0.27135755639780823,98.46,0.9846537466360907,0.9846,0.9845976057564784,13.643970966339111
46,0.03655221224626271,99.59833333333333,0.28738968573338486,98.35,0.9835439745656793,0.9835,0.9834891980112399,11.100322961807251
47,0.04792981722103604,99.52666666666667,0.3233201868183944,98.44,0.9844443748711601,0.9844,0.984400042326974,10.175180912017822
48,0.04295399982354587,99.58666666666667,0.40294673457397023,98.06,0.9806567789638526,0.9806,0.9805849649841178,10.628700733184814
49,0.04716165639748742,99.55833333333334,0.321633965653199,98.34,0.9834761365329703,0.9834,0.9833906459741963,10.281735897064209
50,0.032602534261127476,99.65333333333334,0.38280285507005707,98.5,0.985025795636955,0.985,0.9849942987140184,10.165627002716064
